step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,2.884480e-01,0.000000e+00,4.230000e-04,8.200000e-05,5.788000e-03,5.992000e-03,0.000000e+00,0.000000e+00,XXX,2.889530e-01,0.000000e+00,6.700000e-05,6.000000e-05,5.659000e-03,1.000000e-06,XXX,2.947410e-01,0.000000e+00,3.000000e-06,7.000000e-06,5.980000e-03,2.000000e-06
2,XXX,3.007520e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.977000e-03,5.676000e-03,0.000000e+00,0.000000e+00,XXX,3.007520e-01,0.000000e+00,4.000000e-06,7.000000e-06,5.965000e-03,1.000000e-06,XXX,3.067290e-01,0.000000e+00,1.600000e-05,8.000000e-06,5.650000e-03,2.000000e-06
3,XXX,3.124130e-01,0.000000e+00,4.260000e-04,5.200000e-05,5.689000e-03,5.988000e-03,0.000000e+00,0.000000e+00,XXX,3.128910e-01,0.000000e+00,1.600000e-05,7.000000e-06,5.664000e-03,2.000000e-06,XXX,3.185800e-01,0.000000e+00,3.000000e-06,7.000000e-06,5.977000e-03,1.000000e-06
4,XXX,3.245760e-01,0.000000e+00,0.000000e+00,1.000000e-06,5.973000e-03,5.671000e-03,0.000000e+00,0.000000e+00,XXX,3.245770e-01,0.000000e+00,3.000000e-06,7.000000e-06,5.962000e-03,1.000000e-06,XXX,3.305500e-01,0.000000e+00,1.400000e-05,7.000000e-06,5.649000e-03,1.000000e-06
5,XXX,3.362290e-01,0.000000e+00,4.260000e-04,5.400000e-05,5.676000e-03,5.968000e-03,0.000000e+00,0.000000e+00,XXX,3.367090e-01,0.000000e+00,1.800000e-05,7.000000e-06,5.649000e-03,1.000000e-06,XXX,3.423850e-01,0.000000e+00,3.000000e-06,7.000000e-06,5.956000e-03,1.000000e-06
6,XXX,3.483600e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.992000e-03,5.684000e-03,0.000000e+00,0.000000e+00,XXX,3.483610e-01,0.000000e+00,3.000000e-06,7.000000e-06,5.979000e-03,1.000000e-06,XXX,3.543520e-01,0.000000e+00,1.500000e-05,8.000000e-06,5.660000e-03,1.000000e-06
7,XXX,3.600440e-01,0.000000e+00,4.150000e-04,7.200000e-05,5.688000e-03,6.007000e-03,0.000000e+00,0.000000e+00,XXX,3.605310e-01,0.000000e+00,1.500000e-05,7.000000e-06,5.664000e-03,2.000000e-06,XXX,3.662190e-01,0.000000e+00,3.000000e-06,7.000000e-06,5.996000e-03,1.000000e-06
8,XXX,3.722340e-01,0.000000e+00,0.000000e+00,0.000000e+00,6.033000e-03,5.682000e-03,0.000000e+00,0.000000e+00,XXX,3.722340e-01,0.000000e+00,4.000000e-06,7.000000e-06,6.021000e-03,1.000000e-06,XXX,3.782670e-01,0.000000e+00,1.600000e-05,8.000000e-06,5.657000e-03,1.000000e-06
9,XXX,3.839570e-01,0.000000e+00,4.000000e-04,8.000000e-06,5.706000e-03,6.007000e-03,0.000000e+00,0.000000e+00,XXX,3.843650e-01,0.000000e+00,1.400000e-05,8.000000e-06,5.682000e-03,2.000000e-06,XXX,3.900710e-01,0.000000e+00,3.000000e-06,7.000000e-06,5.996000e-03,1.000000e-06
10,XXX,3.960860e-01,0.000000e+00,0.000000e+00,0.000000e+00,6.027000e-03,5.677000e-03,4.930500e-02,0.000000e+00,XXX,3.960860e-01,0.000000e+00,4.000000e-06,7.000000e-06,6.014000e-03,2.000000e-06,XXX,4.021130e-01,0.000000e+00,1.300000e-05,1.000000e-05,5.653000e-03,1.000000e-06
11,XXX,4.571040e-01,1.000000e-06,4.290000e-04,9.000000e-06,5.734000e-03,6.032000e-03,1.000000e-06,0.000000e+00,XXX,4.575430e-01,0.000000e+00,2.200000e-05,1.000000e-05,5.700000e-03,2.000000e-06,XXX,4.632770e-01,0.000000e+00,5.000000e-06,7.000000e-06,6.019000e-03,1.000000e-06
12,XXX,4.693180e-01,0.000000e+00,0.000000e+00,0.000000e+00,6.032000e-03,5.754000e-03,0.000000e+00,0.000000e+00,XXX,4.693190e-01,0.000000e+00,3.000000e-06,7.000000e-06,6.020000e-03,1.000000e-06,XXX,4.753510e-01,0.000000e+00,1.600000e-05,7.000000e-06,5.729000e-03,1.000000e-06
