step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,2.884560e-01,1.000000e-06,4.350000e-04,6.600000e-05,5.759000e-03,5.952000e-03,0.000000e+00,0.000000e+00,XXX,2.889580e-01,0.000000e+00,7.100000e-05,6.000000e-05,5.626000e-03,2.000000e-06,XXX,2.947170e-01,0.000000e+00,4.000000e-06,6.000000e-06,5.940000e-03,2.000000e-06
2,XXX,3.006850e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.977000e-03,5.757000e-03,0.000000e+00,0.000000e+00,XXX,3.006850e-01,0.000000e+00,4.000000e-06,7.000000e-06,5.964000e-03,2.000000e-06,XXX,3.066620e-01,0.000000e+00,1.270000e-04,7.000000e-06,5.622000e-03,1.000000e-06
3,XXX,3.124270e-01,0.000000e+00,4.250000e-04,3.800000e-05,5.652000e-03,5.951000e-03,0.000000e+00,0.000000e+00,XXX,3.128900e-01,0.000000e+00,2.100000e-05,7.000000e-06,5.622000e-03,2.000000e-06,XXX,3.185420e-01,0.000000e+00,3.000000e-06,6.000000e-06,5.941000e-03,1.000000e-06
4,XXX,3.245010e-01,0.000000e+00,0.000000e+00,0.000000e+00,6.001000e-03,5.722000e-03,0.000000e+00,0.000000e+00,XXX,3.245010e-01,1.000000e-06,3.000000e-06,7.000000e-06,5.989000e-03,1.000000e-06,XXX,3.305030e-01,0.000000e+00,9.300000e-05,8.000000e-06,5.619000e-03,1.000000e-06
5,XXX,3.362320e-01,0.000000e+00,4.240000e-04,5.400000e-05,5.650000e-03,5.951000e-03,0.000000e+00,0.000000e+00,XXX,3.367100e-01,0.000000e+00,2.000000e-05,8.000000e-06,5.621000e-03,1.000000e-06,XXX,3.423600e-01,0.000000e+00,3.000000e-06,6.000000e-06,5.941000e-03,1.000000e-06
6,XXX,3.483190e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.980000e-03,5.775000e-03,0.000000e+00,0.000000e+00,XXX,3.483190e-01,0.000000e+00,3.000000e-06,7.000000e-06,5.968000e-03,2.000000e-06,XXX,3.542990e-01,0.000000e+00,1.130000e-04,9.000000e-06,5.651000e-03,1.000000e-06
7,XXX,3.600810e-01,0.000000e+00,4.270000e-04,2.400000e-05,5.673000e-03,5.981000e-03,0.000000e+00,0.000000e+00,XXX,3.605320e-01,0.000000e+00,1.700000e-05,8.000000e-06,5.646000e-03,2.000000e-06,XXX,3.662050e-01,0.000000e+00,3.000000e-06,6.000000e-06,5.970000e-03,2.000000e-06
8,XXX,3.721940e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.984000e-03,5.740000e-03,0.000000e+00,0.000000e+00,XXX,3.721940e-01,0.000000e+00,4.000000e-06,7.000000e-06,5.971000e-03,2.000000e-06,XXX,3.781780e-01,0.000000e+00,1.020000e-04,7.000000e-06,5.629000e-03,2.000000e-06
9,XXX,3.839250e-01,1.000000e-06,4.140000e-04,2.200000e-05,5.646000e-03,5.983000e-03,0.000000e+00,0.000000e+00,XXX,3.843620e-01,0.000000e+00,2.000000e-05,8.000000e-06,5.617000e-03,1.000000e-06,XXX,3.900080e-01,1.000000e-06,3.000000e-06,6.000000e-06,5.971000e-03,2.000000e-06
10,XXX,3.959990e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.984000e-03,5.766000e-03,4.883600e-02,0.000000e+00,XXX,3.959990e-01,0.000000e+00,4.000000e-06,7.000000e-06,5.972000e-03,1.000000e-06,XXX,4.019830e-01,0.000000e+00,1.400000e-04,7.000000e-06,5.617000e-03,2.000000e-06
11,XXX,4.565940e-01,0.000000e+00,4.040000e-04,5.440000e-04,5.665000e-03,5.986000e-03,0.000000e+00,0.000000e+00,XXX,4.575420e-01,0.000000e+00,2.700000e-05,1.400000e-05,5.622000e-03,1.000000e-06,XXX,4.632070e-01,0.000000e+00,3.000000e-06,7.000000e-06,5.974000e-03,2.000000e-06
12,XXX,4.692010e-01,1.000000e-06,0.000000e+00,0.000000e+00,5.986000e-03,5.845000e-03,0.000000e+00,0.000000e+00,XXX,4.692020e-01,0.000000e+00,3.000000e-06,8.000000e-06,5.973000e-03,2.000000e-06,XXX,4.751880e-01,0.000000e+00,2.230000e-04,7.000000e-06,5.614000e-03,1.000000e-06
