step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,2.640610e-01,5.000000e-06,8.490000e-04,2.300000e-05,1.138800e-02,1.162300e-02,0.000000e+00,0.000000e+00,XXX,2.649380e-01,0.000000e+00,6.300000e-05,1.160000e-04,1.120700e-02,2.000000e-06,XXX,2.763260e-01,0.000000e+00,6.000000e-06,1.400000e-05,1.160100e-02,2.000000e-06
2,XXX,2.879640e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.162700e-02,1.126000e-02,0.000000e+00,0.000000e+00,XXX,2.879660e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.160500e-02,1.000000e-06,XXX,2.995920e-01,0.000000e+00,1.500000e-05,1.300000e-05,1.123000e-02,2.000000e-06
3,XXX,3.108650e-01,1.000000e-06,8.150000e-04,6.000000e-06,1.122900e-02,1.162500e-02,0.000000e+00,0.000000e+00,XXX,3.116870e-01,0.000000e+00,1.300000e-05,1.400000e-05,1.120100e-02,1.000000e-06,XXX,3.229160e-01,0.000000e+00,6.000000e-06,1.400000e-05,1.160400e-02,1.000000e-06
4,XXX,3.345540e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.165400e-02,1.122800e-02,0.000000e+00,0.000000e+00,XXX,3.345550e-01,0.000000e+00,7.000000e-06,1.300000e-05,1.163200e-02,2.000000e-06,XXX,3.462090e-01,0.000000e+00,1.300000e-05,1.400000e-05,1.120000e-02,1.000000e-06
5,XXX,3.574500e-01,1.000000e-06,8.190000e-04,5.000000e-06,1.122800e-02,1.163900e-02,0.000000e+00,1.000000e-06,XXX,3.582750e-01,0.000000e+00,1.300000e-05,1.300000e-05,1.120000e-02,2.000000e-06,XXX,3.695030e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.161900e-02,1.000000e-06
6,XXX,3.811550e-01,1.000000e-06,1.000000e-06,0.000000e+00,1.165700e-02,1.121700e-02,0.000000e+00,0.000000e+00,XXX,3.811570e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.163600e-02,2.000000e-06,XXX,3.928140e-01,0.000000e+00,1.500000e-05,1.400000e-05,1.118600e-02,2.000000e-06
7,XXX,4.040430e-01,1.000000e-06,8.190000e-04,5.000000e-06,1.113800e-02,1.161600e-02,0.000000e+00,1.000000e-06,XXX,4.048690e-01,0.000000e+00,1.100000e-05,1.300000e-05,1.111200e-02,1.000000e-06,XXX,4.160060e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.159600e-02,1.000000e-06
8,XXX,4.276350e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.164300e-02,1.114500e-02,0.000000e+00,0.000000e+00,XXX,4.276370e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.162100e-02,2.000000e-06,XXX,4.392790e-01,0.000000e+00,1.500000e-05,1.300000e-05,1.111500e-02,2.000000e-06
9,XXX,4.504360e-01,1.000000e-06,8.160000e-04,5.000000e-06,1.113900e-02,1.161900e-02,0.000000e+00,0.000000e+00,XXX,4.512580e-01,0.000000e+00,1.200000e-05,1.300000e-05,1.111200e-02,2.000000e-06,XXX,4.623970e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.159800e-02,2.000000e-06
10,XXX,4.740280e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.173100e-02,1.122300e-02,9.176300e-02,1.000000e-06,XXX,4.740290e-01,1.000000e-06,6.000000e-06,1.300000e-05,1.170900e-02,2.000000e-06,XXX,4.857600e-01,0.000000e+00,1.800000e-05,1.600000e-05,1.118700e-02,1.000000e-06
