step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,2.640680e-01,0.000000e+00,8.120000e-04,7.200000e-05,1.140200e-02,1.157000e-02,0.000000e+00,0.000000e+00,XXX,2.649520e-01,0.000000e+00,7.200000e-05,1.160000e-04,1.121200e-02,2.000000e-06,XXX,2.763540e-01,0.000000e+00,7.000000e-06,1.300000e-05,1.154800e-02,1.000000e-06
2,XXX,2.879490e-01,0.000000e+00,1.000000e-06,0.000000e+00,1.157000e-02,1.132100e-02,1.000000e-06,0.000000e+00,XXX,2.879500e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.154900e-02,2.000000e-06,XXX,2.995200e-01,0.000000e+00,1.020000e-04,1.300000e-05,1.120500e-02,1.000000e-06
3,XXX,3.108500e-01,0.000000e+00,8.020000e-04,4.900000e-05,1.122300e-02,1.156500e-02,0.000000e+00,1.000000e-06,XXX,3.117010e-01,0.000000e+00,1.500000e-05,1.300000e-05,1.119400e-02,1.000000e-06,XXX,3.229240e-01,1.000000e-06,5.000000e-06,1.400000e-05,1.154400e-02,1.000000e-06
4,XXX,3.344980e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.156600e-02,1.138800e-02,0.000000e+00,0.000000e+00,XXX,3.344980e-01,0.000000e+00,6.000000e-06,1.400000e-05,1.154500e-02,1.000000e-06,XXX,3.460640e-01,0.000000e+00,1.730000e-04,1.300000e-05,1.120000e-02,1.000000e-06
5,XXX,3.574590e-01,0.000000e+00,8.010000e-04,2.900000e-05,1.122300e-02,1.156800e-02,0.000000e+00,0.000000e+00,XXX,3.582890e-01,0.000000e+00,1.500000e-05,1.300000e-05,1.119300e-02,2.000000e-06,XXX,3.695120e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.154800e-02,1.000000e-06
6,XXX,3.810880e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.157000e-02,1.138900e-02,0.000000e+00,0.000000e+00,XXX,3.810880e-01,0.000000e+00,6.000000e-06,1.400000e-05,1.154900e-02,1.000000e-06,XXX,3.926580e-01,0.000000e+00,1.860000e-04,1.300000e-05,1.118800e-02,2.000000e-06
7,XXX,4.040540e-01,0.000000e+00,7.990000e-04,3.000000e-05,1.113300e-02,1.149500e-02,0.000000e+00,0.000000e+00,XXX,4.048830e-01,0.000000e+00,1.200000e-05,1.300000e-05,1.110600e-02,2.000000e-06,XXX,4.160160e-01,0.000000e+00,6.000000e-06,1.600000e-05,1.147100e-02,1.000000e-06
8,XXX,4.275190e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.149400e-02,1.141500e-02,0.000000e+00,0.000000e+00,XXX,4.275190e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.147400e-02,1.000000e-06,XXX,4.390130e-01,0.000000e+00,2.950000e-04,1.400000e-05,1.110400e-02,2.000000e-06
9,XXX,4.504350e-01,0.000000e+00,7.990000e-04,3.900000e-05,1.113200e-02,1.149600e-02,0.000000e+00,0.000000e+00,XXX,4.512730e-01,0.000000e+00,1.200000e-05,1.300000e-05,1.110600e-02,1.000000e-06,XXX,4.624050e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.147600e-02,1.000000e-06
10,XXX,4.739090e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.159500e-02,1.149700e-02,9.263400e-02,0.000000e+00,XXX,4.739090e-01,0.000000e+00,6.000000e-06,1.400000e-05,1.157400e-02,1.000000e-06,XXX,4.855040e-01,0.000000e+00,2.880000e-04,1.600000e-05,1.119100e-02,1.000000e-06
11,XXX,5.896440e-01,1.000000e-06,8.060000e-04,7.000000e-06,1.116000e-02,1.163000e-02,0.000000e+00,0.000000e+00,XXX,5.904580e-01,0.000000e+00,1.900000e-05,1.500000e-05,1.112400e-02,2.000000e-06,XXX,6.016180e-01,0.000000e+00,6.000000e-06,1.400000e-05,1.160800e-02,2.000000e-06
12,XXX,6.132560e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.162400e-02,1.117300e-02,0.000000e+00,0.000000e+00,XXX,6.132570e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.160300e-02,1.000000e-06,XXX,6.248800e-01,0.000000e+00,4.000000e-05,1.300000e-05,1.111800e-02,2.000000e-06
13,XXX,6.360600e-01,0.000000e+00,7.960000e-04,3.800000e-05,1.115600e-02,1.162500e-02,0.000000e+00,0.000000e+00,XXX,6.368950e-01,0.000000e+00,1.500000e-05,1.200000e-05,1.112700e-02,1.000000e-06,XXX,6.480510e-01,0.000000e+00,5.000000e-06,1.400000e-05,1.160300e-02,2.000000e-06
14,XXX,6.596830e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.171400e-02,1.121400e-02,0.000000e+00,0.000000e+00,XXX,6.596830e-01,0.000000e+00,6.000000e-06,1.400000e-05,1.169300e-02,1.000000e-06,XXX,6.713970e-01,0.000000e+00,1.600000e-05,1.300000e-05,1.118400e-02,1.000000e-06
15,XXX,6.826220e-01,0.000000e+00,8.020000e-04,3.800000e-05,1.113300e-02,1.151000e-02,0.000000e+00,0.000000e+00,XXX,6.834620e-01,0.000000e+00,1.300000e-05,1.300000e-05,1.110600e-02,1.000000e-06,XXX,6.945950e-01,0.000000e+00,6.000000e-06,1.400000e-05,1.148800e-02,2.000000e-06
16,XXX,7.061130e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.150900e-02,1.134700e-02,0.000000e+00,0.000000e+00,XXX,7.061130e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.148900e-02,1.000000e-06,XXX,7.176220e-01,1.000000e-06,2.240000e-04,1.300000e-05,1.110800e-02,1.000000e-06
17,XXX,7.289770e-01,0.000000e+00,7.990000e-04,4.300000e-05,1.113500e-02,1.151300e-02,0.000000e+00,0.000000e+00,XXX,7.298190e-01,0.000000e+00,1.500000e-05,1.200000e-05,1.110700e-02,1.000000e-06,XXX,7.409540e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.149300e-02,1.000000e-06
18,XXX,7.524750e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.155100e-02,1.141300e-02,0.000000e+00,0.000000e+00,XXX,7.524750e-01,0.000000e+00,6.000000e-06,1.400000e-05,1.153000e-02,1.000000e-06,XXX,7.640260e-01,0.000000e+00,2.290000e-04,1.400000e-05,1.116800e-02,2.000000e-06
