step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,1.977900e-02,7.000000e-06,1.169000e-03,1.700000e-05,1.457100e-02,1.428100e-02,0.000000e+00,0.000000e+00,XXX,2.097400e-02,0.000000e+00,6.900000e-05,1.250000e-04,1.434000e-02,3.400000e-05,XXX,3.554300e-02,0.000000e+00,1.100000e-05,6.000000e-05,1.418000e-02,3.000000e-05
2,XXX,4.984600e-02,1.000000e-06,0.000000e+00,0.000000e+00,1.362000e-02,1.262100e-02,0.000000e+00,0.000000e+00,XXX,4.984800e-02,0.000000e+00,1.000000e-05,5.700000e-05,1.352200e-02,3.000000e-05,XXX,6.346700e-02,1.000000e-06,8.700000e-05,5.500000e-05,1.245200e-02,2.600000e-05
3,XXX,7.610300e-02,1.000000e-06,9.320000e-04,6.000000e-06,1.208500e-02,1.242800e-02,0.000000e+00,0.000000e+00,XXX,7.704200e-02,0.000000e+00,1.600000e-05,5.400000e-05,1.198600e-02,2.900000e-05,XXX,8.912700e-02,0.000000e+00,1.100000e-05,5.100000e-05,1.233900e-02,2.600000e-05
4,XXX,1.015700e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.240300e-02,1.184900e-02,0.000000e+00,0.000000e+00,XXX,1.015710e-01,0.000000e+00,8.000000e-06,5.100000e-05,1.231600e-02,2.700000e-05,XXX,1.139730e-01,0.000000e+00,2.500000e-05,5.100000e-05,1.174900e-02,2.400000e-05
5,XXX,1.258360e-01,1.000000e-06,9.020000e-04,5.000000e-06,1.184000e-02,1.247200e-02,0.000000e+00,0.000000e+00,XXX,1.267440e-01,0.000000e+00,1.600000e-05,5.100000e-05,1.174800e-02,2.500000e-05,XXX,1.385840e-01,0.000000e+00,9.000000e-06,4.900000e-05,1.238800e-02,2.600000e-05
6,XXX,1.510690e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.242300e-02,1.184300e-02,0.000000e+00,0.000000e+00,XXX,1.510710e-01,0.000000e+00,8.000000e-06,5.100000e-05,1.233600e-02,2.600000e-05,XXX,1.634930e-01,0.000000e+00,2.300000e-05,5.200000e-05,1.174400e-02,2.400000e-05
7,XXX,1.753500e-01,0.000000e+00,9.000000e-04,5.000000e-06,1.182600e-02,1.236700e-02,0.000000e+00,0.000000e+00,XXX,1.762550e-01,0.000000e+00,1.600000e-05,5.100000e-05,1.173400e-02,2.500000e-05,XXX,1.880810e-01,0.000000e+00,9.000000e-06,5.100000e-05,1.227800e-02,2.800000e-05
8,XXX,2.004620e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.235800e-02,1.184800e-02,0.000000e+00,0.000000e+00,XXX,2.004630e-01,0.000000e+00,9.000000e-06,5.200000e-05,1.226900e-02,2.700000e-05,XXX,2.128210e-01,0.000000e+00,4.500000e-05,5.300000e-05,1.172400e-02,2.600000e-05
9,XXX,2.246830e-01,1.000000e-06,9.000000e-04,6.000000e-06,1.184400e-02,1.233100e-02,0.000000e+00,0.000000e+00,XXX,2.255900e-01,0.000000e+00,1.600000e-05,5.400000e-05,1.174900e-02,2.500000e-05,XXX,2.374340e-01,1.000000e-06,8.000000e-06,5.400000e-05,1.224200e-02,2.500000e-05
10,XXX,2.497790e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.230900e-02,1.202700e-02,8.936100e-02,0.000000e+00,XXX,2.497800e-01,0.000000e+00,9.000000e-06,5.300000e-05,1.222100e-02,2.600000e-05,XXX,2.620890e-01,0.000000e+00,1.970000e-04,5.400000e-05,1.175200e-02,2.400000e-05
