step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
17,XXX,1.017717e+00,1.000000e-06,1.808000e-03,7.000000e-06,2.409300e-02,2.555600e-02,1.000000e-06,0.000000e+00,XXX,1.019534e+00,0.000000e+00,2.000000e-05,1.430000e-04,2.386400e-02,6.500000e-05,XXX,1.043626e+00,0.000000e+00,2.800000e-05,1.370000e-04,2.530700e-02,8.400000e-05
18,XXX,1.069201e+00,1.000000e-06,0.000000e+00,0.000000e+00,2.550000e-02,2.407500e-02,0.000000e+00,0.000000e+00,XXX,1.069203e+00,0.000000e+00,2.300000e-05,1.370000e-04,2.525600e-02,8.300000e-05,XXX,1.094703e+00,0.000000e+00,4.500000e-05,1.420000e-04,2.382800e-02,5.900000e-05
19,XXX,1.118795e+00,1.000000e-06,1.817000e-03,9.000000e-06,2.407400e-02,2.536700e-02,0.000000e+00,0.000000e+00,XXX,1.120622e+00,0.000000e+00,2.100000e-05,1.480000e-04,2.384000e-02,6.500000e-05,XXX,1.144696e+00,0.000000e+00,2.500000e-05,1.360000e-04,2.513100e-02,7.500000e-05
20,XXX,1.170080e+00,1.000000e-06,0.000000e+00,0.000000e+00,2.542000e-02,2.406200e-02,1.785660e-01,0.000000e+00,XXX,1.170082e+00,0.000000e+00,1.900000e-05,1.370000e-04,2.518200e-02,8.100000e-05,XXX,1.195501e+00,0.000000e+00,3.200000e-05,1.440000e-04,2.382800e-02,5.800000e-05
21,XXX,1.398145e+00,1.000000e-06,1.840000e-03,1.300000e-05,2.415200e-02,2.530500e-02,0.000000e+00,0.000000e+00,XXX,1.399999e+00,1.000000e-06,2.200000e-05,1.890000e-04,2.387600e-02,6.400000e-05,XXX,1.424152e+00,0.000000e+00,2.400000e-05,1.400000e-04,2.508000e-02,6.000000e-05
22,XXX,1.449476e+00,1.000000e-06,0.000000e+00,0.000000e+00,2.538200e-02,2.407600e-02,0.000000e+00,0.000000e+00,XXX,1.449477e+00,0.000000e+00,1.700000e-05,1.330000e-04,2.515200e-02,7.900000e-05,XXX,1.474859e+00,0.000000e+00,3.800000e-05,1.420000e-04,2.383700e-02,5.900000e-05
23,XXX,1.498952e+00,1.000000e-06,1.812000e-03,9.000000e-06,2.409100e-02,2.530600e-02,0.000000e+00,0.000000e+00,XXX,1.500774e+00,0.000000e+00,2.000000e-05,1.440000e-04,2.385700e-02,7.000000e-05,XXX,1.524865e+00,0.000000e+00,2.700000e-05,1.410000e-04,2.507600e-02,6.100000e-05
24,XXX,1.550193e+00,1.000000e-06,0.000000e+00,0.000000e+00,2.536100e-02,2.413900e-02,0.000000e+00,0.000000e+00,XXX,1.550195e+00,0.000000e+00,1.700000e-05,1.350000e-04,2.512900e-02,7.900000e-05,XXX,1.575556e+00,0.000000e+00,1.050000e-04,1.390000e-04,2.383900e-02,5.400000e-05
25,XXX,1.599710e+00,1.000000e-06,1.812000e-03,7.000000e-06,2.406700e-02,2.532700e-02,0.000000e+00,0.000000e+00,XXX,1.601530e+00,0.000000e+00,1.900000e-05,1.410000e-04,2.384700e-02,6.000000e-05,XXX,1.625597e+00,0.000000e+00,2.300000e-05,1.340000e-04,2.511100e-02,5.900000e-05
26,XXX,1.650941e+00,1.000000e-06,0.000000e+00,0.000000e+00,2.535700e-02,2.405900e-02,0.000000e+00,0.000000e+00,XXX,1.650942e+00,0.000000e+00,1.700000e-05,1.330000e-04,2.513300e-02,7.400000e-05,XXX,1.676299e+00,0.000000e+00,3.100000e-05,1.390000e-04,2.383500e-02,5.400000e-05
