step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,3.008170e-01,0.000000e+00,2.180000e-04,1.010000e-04,3.061000e-03,3.054000e-03,1.000000e-06,0.000000e+00,XXX,3.011360e-01,1.000000e-06,9.300000e-05,3.300000e-05,2.932000e-03,2.000000e-06,XXX,3.041980e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.046000e-03,1.000000e-06
2,XXX,3.072680e-01,1.000000e-06,0.000000e+00,0.000000e+00,3.056000e-03,2.959000e-03,0.000000e+00,0.000000e+00,XXX,3.072690e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.049000e-03,1.000000e-06,XXX,3.103250e-01,0.000000e+00,2.700000e-05,4.000000e-06,2.927000e-03,1.000000e-06
3,XXX,3.132920e-01,0.000000e+00,2.230000e-04,9.000000e-06,2.955000e-03,3.076000e-03,0.000000e+00,0.000000e+00,XXX,3.135240e-01,0.000000e+00,2.100000e-05,5.000000e-06,2.928000e-03,1.000000e-06,XXX,3.164790e-01,1.000000e-06,1.000000e-06,4.000000e-06,3.069000e-03,1.000000e-06
4,XXX,3.195640e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.031000e-03,2.956000e-03,0.000000e+00,0.000000e+00,XXX,3.195640e-01,0.000000e+00,2.000000e-06,5.000000e-06,3.023000e-03,1.000000e-06,XXX,3.225950e-01,0.000000e+00,2.200000e-05,5.000000e-06,2.927000e-03,1.000000e-06
5,XXX,3.255580e-01,0.000000e+00,2.120000e-04,6.000000e-06,2.956000e-03,3.079000e-03,0.000000e+00,0.000000e+00,XXX,3.257760e-01,0.000000e+00,2.300000e-05,5.000000e-06,2.926000e-03,2.000000e-06,XXX,3.287320e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.072000e-03,1.000000e-06
6,XXX,3.318190e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.054000e-03,2.983000e-03,0.000000e+00,0.000000e+00,XXX,3.318190e-01,1.000000e-06,1.000000e-06,5.000000e-06,3.046000e-03,1.000000e-06,XXX,3.348740e-01,0.000000e+00,2.000000e-05,4.000000e-06,2.956000e-03,2.000000e-06
7,XXX,3.378640e-01,0.000000e+00,2.090000e-04,6.000000e-06,2.956000e-03,3.078000e-03,0.000000e+00,0.000000e+00,XXX,3.380790e-01,0.000000e+00,2.300000e-05,5.000000e-06,2.926000e-03,2.000000e-06,XXX,3.410350e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.070000e-03,2.000000e-06
8,XXX,3.441210e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.070000e-03,2.956000e-03,0.000000e+00,0.000000e+00,XXX,3.441210e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.062000e-03,2.000000e-06,XXX,3.471910e-01,0.000000e+00,2.500000e-05,5.000000e-06,2.925000e-03,1.000000e-06
9,XXX,3.501550e-01,0.000000e+00,2.140000e-04,2.800000e-05,2.952000e-03,3.054000e-03,0.000000e+00,0.000000e+00,XXX,3.503970e-01,0.000000e+00,1.900000e-05,5.000000e-06,2.926000e-03,2.000000e-06,XXX,3.533490e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.047000e-03,1.000000e-06
10,XXX,3.564110e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.055000e-03,2.942000e-03,2.956100e-02,0.000000e+00,XXX,3.564110e-01,0.000000e+00,2.000000e-06,5.000000e-06,3.047000e-03,1.000000e-06,XXX,3.594670e-01,0.000000e+00,2.400000e-05,5.000000e-06,2.911000e-03,1.000000e-06
