step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,2.993710e-01,0.000000e+00,2.200000e-04,1.000000e-04,3.053000e-03,3.045000e-03,0.000000e+00,0.000000e+00,XXX,2.996920e-01,0.000000e+00,8.200000e-05,3.700000e-05,2.931000e-03,2.000000e-06,XXX,3.027440e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.038000e-03,1.000000e-06
2,XXX,3.058060e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.045000e-03,2.950000e-03,0.000000e+00,0.000000e+00,XXX,3.058070e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.037000e-03,1.000000e-06,XXX,3.088520e-01,0.000000e+00,1.700000e-05,5.000000e-06,2.925000e-03,2.000000e-06
3,XXX,3.118090e-01,0.000000e+00,2.140000e-04,5.600000e-05,2.945000e-03,3.065000e-03,0.000000e+00,0.000000e+00,XXX,3.120790e-01,0.000000e+00,1.400000e-05,5.000000e-06,2.925000e-03,1.000000e-06,XXX,3.150240e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.058000e-03,1.000000e-06
4,XXX,3.180980e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.020000e-03,2.945000e-03,0.000000e+00,0.000000e+00,XXX,3.180980e-01,0.000000e+00,2.000000e-06,5.000000e-06,3.012000e-03,1.000000e-06,XXX,3.211180e-01,1.000000e-06,1.400000e-05,4.000000e-06,2.924000e-03,2.000000e-06
5,XXX,3.240710e-01,0.000000e+00,2.110000e-04,4.800000e-05,2.948000e-03,3.068000e-03,0.000000e+00,0.000000e+00,XXX,3.243300e-01,0.000000e+00,1.700000e-05,5.000000e-06,2.925000e-03,1.000000e-06,XXX,3.272780e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.061000e-03,1.000000e-06
6,XXX,3.303550e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.045000e-03,2.952000e-03,0.000000e+00,0.000000e+00,XXX,3.303550e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.037000e-03,2.000000e-06,XXX,3.334000e-01,0.000000e+00,1.400000e-05,4.000000e-06,2.933000e-03,1.000000e-06
7,XXX,3.363600e-01,0.000000e+00,2.120000e-04,6.100000e-05,2.933000e-03,3.067000e-03,0.000000e+00,0.000000e+00,XXX,3.366330e-01,0.000000e+00,1.700000e-05,5.000000e-06,2.910000e-03,1.000000e-06,XXX,3.395670e-01,0.000000e+00,1.000000e-06,4.000000e-06,3.060000e-03,1.000000e-06
8,XXX,3.426420e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.016000e-03,2.945000e-03,0.000000e+00,0.000000e+00,XXX,3.426420e-01,0.000000e+00,2.000000e-06,5.000000e-06,3.008000e-03,1.000000e-06,XXX,3.456580e-01,0.000000e+00,1.700000e-05,5.000000e-06,2.922000e-03,1.000000e-06
9,XXX,3.486110e-01,0.000000e+00,2.090000e-04,1.320000e-04,2.931000e-03,3.029000e-03,0.000000e+00,0.000000e+00,XXX,3.489520e-01,0.000000e+00,1.500000e-05,5.000000e-06,2.910000e-03,1.000000e-06,XXX,3.518830e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.022000e-03,1.000000e-06
10,XXX,3.549200e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.029000e-03,2.923000e-03,2.579600e-02,0.000000e+00,XXX,3.549200e-01,1.000000e-06,2.000000e-06,4.000000e-06,3.020000e-03,2.000000e-06,XXX,3.579490e-01,0.000000e+00,3.200000e-05,4.000000e-06,2.886000e-03,1.000000e-06
11,XXX,3.866780e-01,0.000000e+00,2.220000e-04,4.896000e-03,2.981000e-03,3.037000e-03,0.000000e+00,0.000000e+00,XXX,3.917960e-01,0.000000e+00,2.700000e-05,8.000000e-06,2.944000e-03,2.000000e-06,XXX,3.947770e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.029000e-03,2.000000e-06
12,XXX,3.978220e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.062000e-03,2.958000e-03,0.000000e+00,0.000000e+00,XXX,3.978230e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.054000e-03,1.000000e-06,XXX,4.008840e-01,0.000000e+00,1.400000e-05,5.000000e-06,2.938000e-03,1.000000e-06
13,XXX,4.038500e-01,0.000000e+00,2.130000e-04,6.900000e-05,2.965000e-03,3.060000e-03,0.000000e+00,0.000000e+00,XXX,4.041320e-01,0.000000e+00,2.000000e-05,5.000000e-06,2.938000e-03,2.000000e-06,XXX,4.070970e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.052000e-03,2.000000e-06
14,XXX,4.101650e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.059000e-03,2.964000e-03,0.000000e+00,0.000000e+00,XXX,4.101650e-01,0.000000e+00,2.000000e-06,5.000000e-06,3.051000e-03,1.000000e-06,XXX,4.132240e-01,0.000000e+00,1.600000e-05,7.000000e-06,2.939000e-03,2.000000e-06
15,XXX,4.162050e-01,0.000000e+00,2.120000e-04,3.200000e-05,2.974000e-03,3.018000e-03,0.000000e+00,1.000000e-06,XXX,4.164490e-01,0.000000e+00,1.400000e-05,6.000000e-06,2.952000e-03,1.000000e-06,XXX,4.194230e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.011000e-03,1.000000e-06
16,XXX,4.224500e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.067000e-03,2.974000e-03,0.000000e+00,0.000000e+00,XXX,4.224500e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.060000e-03,1.000000e-06,XXX,4.255170e-01,0.000000e+00,1.600000e-05,5.000000e-06,2.952000e-03,1.000000e-06
17,XXX,4.284990e-01,0.000000e+00,2.090000e-04,1.400000e-05,2.954000e-03,3.066000e-03,0.000000e+00,0.000000e+00,XXX,4.287220e-01,0.000000e+00,1.800000e-05,5.000000e-06,2.929000e-03,2.000000e-06,XXX,4.316760e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.059000e-03,1.000000e-06
18,XXX,4.347500e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.074000e-03,2.950000e-03,0.000000e+00,0.000000e+00,XXX,4.347500e-01,1.000000e-06,2.000000e-06,4.000000e-06,3.065000e-03,2.000000e-06,XXX,4.378240e-01,0.000000e+00,1.400000e-05,4.000000e-06,2.931000e-03,1.000000e-06
19,XXX,4.407820e-01,0.000000e+00,2.140000e-04,2.500000e-05,2.962000e-03,3.053000e-03,0.000000e+00,0.000000e+00,XXX,4.410210e-01,0.000000e+00,1.900000e-05,5.000000e-06,2.937000e-03,1.000000e-06,XXX,4.439830e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.045000e-03,2.000000e-06
20,XXX,4.470440e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.052000e-03,2.930000e-03,3.218600e-02,0.000000e+00,XXX,4.470440e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.045000e-03,1.000000e-06,XXX,4.500960e-01,1.000000e-06,1.300000e-05,5.000000e-06,2.910000e-03,1.000000e-06
21,XXX,4.852210e-01,0.000000e+00,2.070000e-04,3.066000e-03,2.930000e-03,3.030000e-03,0.000000e+00,0.000000e+00,XXX,4.884940e-01,0.000000e+00,2.200000e-05,6.000000e-06,2.900000e-03,2.000000e-06,XXX,4.914240e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.023000e-03,1.000000e-06
