step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,3.008180e-01,0.000000e+00,2.150000e-04,1.050000e-04,3.042000e-03,3.032000e-03,0.000000e+00,0.000000e+00,XXX,3.011380e-01,0.000000e+00,9.100000e-05,3.700000e-05,2.912000e-03,2.000000e-06,XXX,3.041800e-01,0.000000e+00,3.000000e-06,4.000000e-06,3.023000e-03,2.000000e-06
2,XXX,3.072310e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.032000e-03,2.943000e-03,0.000000e+00,0.000000e+00,XXX,3.072310e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.024000e-03,2.000000e-06,XXX,3.102630e-01,0.000000e+00,2.700000e-05,7.000000e-06,2.908000e-03,1.000000e-06
3,XXX,3.132140e-01,0.000000e+00,2.140000e-04,9.800000e-05,2.937000e-03,3.057000e-03,0.000000e+00,0.000000e+00,XXX,3.135260e-01,0.000000e+00,2.100000e-05,5.000000e-06,2.910000e-03,1.000000e-06,XXX,3.164630e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.049000e-03,2.000000e-06
4,XXX,3.195280e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.007000e-03,2.937000e-03,1.000000e-06,0.000000e+00,XXX,3.195280e-01,0.000000e+00,2.000000e-06,5.000000e-06,2.998000e-03,2.000000e-06,XXX,3.225350e-01,0.000000e+00,2.200000e-05,4.000000e-06,2.910000e-03,1.000000e-06
5,XXX,3.254800e-01,0.000000e+00,2.120000e-04,8.500000e-05,2.940000e-03,3.054000e-03,0.000000e+00,0.000000e+00,XXX,3.257770e-01,0.000000e+00,2.400000e-05,5.000000e-06,2.909000e-03,1.000000e-06,XXX,3.287170e-01,0.000000e+00,1.000000e-06,4.000000e-06,3.048000e-03,1.000000e-06
6,XXX,3.317790e-01,0.000000e+00,1.000000e-06,0.000000e+00,3.029000e-03,2.965000e-03,0.000000e+00,0.000000e+00,XXX,3.317800e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.022000e-03,1.000000e-06,XXX,3.348090e-01,0.000000e+00,2.000000e-05,5.000000e-06,2.938000e-03,2.000000e-06
7,XXX,3.377820e-01,0.000000e+00,2.090000e-04,8.900000e-05,2.937000e-03,3.060000e-03,1.000000e-06,0.000000e+00,XXX,3.380800e-01,0.000000e+00,2.400000e-05,5.000000e-06,2.907000e-03,1.000000e-06,XXX,3.410170e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.053000e-03,1.000000e-06
8,XXX,3.440860e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.025000e-03,2.963000e-03,0.000000e+00,0.000000e+00,XXX,3.440860e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.018000e-03,1.000000e-06,XXX,3.471110e-01,0.000000e+00,2.600000e-05,1.500000e-05,2.920000e-03,1.000000e-06
9,XXX,3.500810e-01,0.000000e+00,2.140000e-04,1.030000e-04,2.931000e-03,3.037000e-03,0.000000e+00,0.000000e+00,XXX,3.503980e-01,0.000000e+00,1.900000e-05,5.000000e-06,2.906000e-03,1.000000e-06,XXX,3.533290e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.029000e-03,2.000000e-06
10,XXX,3.563740e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.038000e-03,2.922000e-03,2.689200e-02,1.000000e-06,XXX,3.563740e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.030000e-03,2.000000e-06,XXX,3.594120e-01,0.000000e+00,3.100000e-05,5.000000e-06,2.884000e-03,1.000000e-06
