step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,3.008600e-01,0.000000e+00,2.420000e-04,7.500000e-05,3.013000e-03,3.007000e-03,0.000000e+00,0.000000e+00,XXX,3.011770e-01,0.000000e+00,8.800000e-05,3.200000e-05,2.891000e-03,2.000000e-06,XXX,3.041910e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.998000e-03,2.000000e-06
2,XXX,3.072160e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.034000e-03,3.032000e-03,0.000000e+00,0.000000e+00,XXX,3.072170e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.025000e-03,1.000000e-06,XXX,3.102500e-01,0.000000e+00,1.290000e-04,5.000000e-06,2.896000e-03,2.000000e-06
3,XXX,3.132900e-01,0.000000e+00,2.250000e-04,4.000000e-05,2.937000e-03,3.008000e-03,0.000000e+00,0.000000e+00,XXX,3.135560e-01,0.000000e+00,1.900000e-05,5.000000e-06,2.911000e-03,1.000000e-06,XXX,3.164920e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.000000e-03,2.000000e-06
4,XXX,3.195080e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.038000e-03,3.004000e-03,0.000000e+00,0.000000e+00,XXX,3.195090e-01,0.000000e+00,5.000000e-06,5.000000e-06,3.025000e-03,2.000000e-06,XXX,3.225460e-01,0.000000e+00,1.000000e-04,5.000000e-06,2.897000e-03,2.000000e-06
5,XXX,3.255580e-01,0.000000e+00,2.240000e-04,2.700000e-05,2.916000e-03,3.006000e-03,0.000000e+00,0.000000e+00,XXX,3.258090e-01,0.000000e+00,2.200000e-05,5.000000e-06,2.887000e-03,2.000000e-06,XXX,3.287250e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.999000e-03,1.000000e-06
6,XXX,3.317390e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.034000e-03,3.060000e-03,0.000000e+00,0.000000e+00,XXX,3.317400e-01,0.000000e+00,1.000000e-06,5.000000e-06,3.025000e-03,2.000000e-06,XXX,3.347730e-01,0.000000e+00,1.500000e-04,4.000000e-06,2.905000e-03,1.000000e-06
7,XXX,3.378410e-01,0.000000e+00,2.220000e-04,4.900000e-05,2.938000e-03,3.009000e-03,0.000000e+00,0.000000e+00,XXX,3.381120e-01,0.000000e+00,2.200000e-05,8.000000e-06,2.907000e-03,1.000000e-06,XXX,3.410500e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.002000e-03,1.000000e-06
8,XXX,3.440670e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.036000e-03,3.030000e-03,0.000000e+00,0.000000e+00,XXX,3.440680e-01,0.000000e+00,1.000000e-06,5.000000e-06,3.028000e-03,1.000000e-06,XXX,3.471030e-01,0.000000e+00,1.410000e-04,5.000000e-06,2.883000e-03,1.000000e-06
9,XXX,3.501430e-01,0.000000e+00,2.360000e-04,5.400000e-05,2.908000e-03,3.035000e-03,0.000000e+00,0.000000e+00,XXX,3.504330e-01,0.000000e+00,1.800000e-05,5.000000e-06,2.884000e-03,1.000000e-06,XXX,3.533410e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.027000e-03,2.000000e-06
10,XXX,3.563840e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.059000e-03,2.990000e-03,2.953100e-02,0.000000e+00,XXX,3.563840e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.051000e-03,2.000000e-06,XXX,3.594430e-01,0.000000e+00,7.600000e-05,5.000000e-06,2.908000e-03,1.000000e-06
