step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,3.008170e-01,0.000000e+00,2.180000e-04,1.010000e-04,3.051000e-03,3.040000e-03,0.000000e+00,0.000000e+00,XXX,3.011360e-01,0.000000e+00,9.000000e-05,3.800000e-05,2.921000e-03,2.000000e-06,XXX,3.041870e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.033000e-03,1.000000e-06
2,XXX,3.072440e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.043000e-03,2.950000e-03,0.000000e+00,0.000000e+00,XXX,3.072440e-01,0.000000e+00,3.000000e-06,4.000000e-06,3.034000e-03,2.000000e-06,XXX,3.102870e-01,0.000000e+00,2.600000e-05,4.000000e-06,2.919000e-03,1.000000e-06
3,XXX,3.132450e-01,0.000000e+00,2.140000e-04,6.500000e-05,2.950000e-03,3.061000e-03,0.000000e+00,0.000000e+00,XXX,3.135240e-01,0.000000e+00,2.100000e-05,5.000000e-06,2.923000e-03,1.000000e-06,XXX,3.164750e-01,0.000000e+00,1.000000e-06,4.000000e-06,3.054000e-03,1.000000e-06
4,XXX,3.195440e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.014000e-03,2.955000e-03,0.000000e+00,0.000000e+00,XXX,3.195440e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.007000e-03,1.000000e-06,XXX,3.225580e-01,0.000000e+00,2.200000e-05,5.000000e-06,2.926000e-03,1.000000e-06
5,XXX,3.255200e-01,0.000000e+00,2.120000e-04,4.400000e-05,2.951000e-03,3.063000e-03,0.000000e+00,0.000000e+00,XXX,3.257760e-01,0.000000e+00,2.300000e-05,5.000000e-06,2.921000e-03,2.000000e-06,XXX,3.287270e-01,0.000000e+00,2.000000e-06,3.000000e-06,3.057000e-03,1.000000e-06
6,XXX,3.317980e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.039000e-03,2.981000e-03,0.000000e+00,0.000000e+00,XXX,3.317990e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.031000e-03,1.000000e-06,XXX,3.348380e-01,0.000000e+00,2.000000e-05,4.000000e-06,2.955000e-03,1.000000e-06
7,XXX,3.378250e-01,0.000000e+00,2.090000e-04,4.500000e-05,2.960000e-03,3.072000e-03,0.000000e+00,0.000000e+00,XXX,3.380790e-01,0.000000e+00,2.300000e-05,5.000000e-06,2.930000e-03,2.000000e-06,XXX,3.410390e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.065000e-03,1.000000e-06
8,XXX,3.441190e-01,0.000000e+00,0.000000e+00,1.000000e-06,3.050000e-03,2.968000e-03,0.000000e+00,0.000000e+00,XXX,3.441200e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.043000e-03,1.000000e-06,XXX,3.471700e-01,0.000000e+00,3.400000e-05,4.000000e-06,2.929000e-03,1.000000e-06
9,XXX,3.501460e-01,0.000000e+00,2.140000e-04,3.700000e-05,2.976000e-03,3.050000e-03,0.000000e+00,0.000000e+00,XXX,3.503970e-01,0.000000e+00,1.900000e-05,4.000000e-06,2.951000e-03,1.000000e-06,XXX,3.533730e-01,0.000000e+00,1.000000e-06,4.000000e-06,3.044000e-03,1.000000e-06
10,XXX,3.564310e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.058000e-03,2.945000e-03,2.990700e-02,0.000000e+00,XXX,3.564320e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.049000e-03,2.000000e-06,XXX,3.594890e-01,0.000000e+00,2.400000e-05,5.000000e-06,2.915000e-03,1.000000e-06
11,XXX,3.923510e-01,0.000000e+00,2.290000e-04,6.610000e-04,3.001000e-03,3.053000e-03,0.000000e+00,0.000000e+00,XXX,3.932420e-01,0.000000e+00,3.600000e-05,7.000000e-06,2.955000e-03,2.000000e-06,XXX,3.962430e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.045000e-03,1.000000e-06
12,XXX,3.993040e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.078000e-03,2.967000e-03,0.000000e+00,0.000000e+00,XXX,3.993040e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.070000e-03,2.000000e-06,XXX,4.023820e-01,0.000000e+00,2.100000e-05,4.000000e-06,2.940000e-03,2.000000e-06
13,XXX,4.053560e-01,0.000000e+00,2.110000e-04,1.000000e-05,2.974000e-03,3.056000e-03,0.000000e+00,0.000000e+00,XXX,4.055780e-01,0.000000e+00,2.300000e-05,5.000000e-06,2.944000e-03,1.000000e-06,XXX,4.085510e-01,1.000000e-06,1.000000e-06,4.000000e-06,3.049000e-03,1.000000e-06
14,XXX,4.116150e-01,1.000000e-06,0.000000e+00,0.000000e+00,3.055000e-03,2.967000e-03,0.000000e+00,0.000000e+00,XXX,4.116160e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.047000e-03,1.000000e-06,XXX,4.146710e-01,0.000000e+00,2.300000e-05,7.000000e-06,2.936000e-03,1.000000e-06
15,XXX,4.176500e-01,0.000000e+00,2.110000e-04,3.400000e-05,2.969000e-03,3.006000e-03,0.000000e+00,0.000000e+00,XXX,4.178950e-01,0.000000e+00,2.100000e-05,5.000000e-06,2.942000e-03,1.000000e-06,XXX,4.208650e-01,0.000000e+00,1.000000e-06,4.000000e-06,2.998000e-03,1.000000e-06
16,XXX,4.238780e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.055000e-03,2.982000e-03,0.000000e+00,0.000000e+00,XXX,4.238780e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.047000e-03,2.000000e-06,XXX,4.269330e-01,0.000000e+00,4.000000e-05,4.000000e-06,2.936000e-03,2.000000e-06
17,XXX,4.299220e-01,0.000000e+00,2.120000e-04,3.300000e-05,2.939000e-03,3.052000e-03,0.000000e+00,0.000000e+00,XXX,4.301670e-01,0.000000e+00,2.100000e-05,5.000000e-06,2.911000e-03,1.000000e-06,XXX,4.331060e-01,0.000000e+00,1.000000e-06,4.000000e-06,3.045000e-03,2.000000e-06
18,XXX,4.361660e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.052000e-03,3.011000e-03,0.000000e+00,0.000000e+00,XXX,4.361660e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.045000e-03,1.000000e-06,XXX,4.392180e-01,0.000000e+00,5.100000e-05,5.000000e-06,2.954000e-03,1.000000e-06
19,XXX,4.422370e-01,0.000000e+00,2.140000e-04,1.500000e-05,2.988000e-03,3.071000e-03,0.000000e+00,0.000000e+00,XXX,4.424660e-01,0.000000e+00,2.400000e-05,5.000000e-06,2.958000e-03,1.000000e-06,XXX,4.454540e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.064000e-03,1.000000e-06
20,XXX,4.485330e-01,0.000000e+00,0.000000e+00,1.000000e-06,3.071000e-03,2.970000e-03,3.507500e-02,0.000000e+00,XXX,4.485340e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.064000e-03,1.000000e-06,XXX,4.516050e-01,0.000000e+00,2.000000e-05,4.000000e-06,2.945000e-03,1.000000e-06
21,XXX,4.896590e-01,0.000000e+00,2.200000e-04,6.000000e-05,2.945000e-03,3.050000e-03,0.000000e+00,0.000000e+00,XXX,4.899400e-01,0.000000e+00,2.800000e-05,6.000000e-06,2.908000e-03,2.000000e-06,XXX,4.928840e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.042000e-03,2.000000e-06
22,XXX,4.959420e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.052000e-03,2.999000e-03,0.000000e+00,0.000000e+00,XXX,4.959420e-01,0.000000e+00,3.000000e-06,4.000000e-06,3.043000e-03,2.000000e-06,XXX,4.989940e-01,0.000000e+00,9.000000e-05,5.000000e-06,2.902000e-03,2.000000e-06
23,XXX,5.020000e-01,0.000000e+00,2.120000e-04,7.100000e-05,2.951000e-03,3.050000e-03,0.000000e+00,0.000000e+00,XXX,5.022830e-01,0.000000e+00,1.900000e-05,5.000000e-06,2.926000e-03,1.000000e-06,XXX,5.052340e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.042000e-03,2.000000e-06
24,XXX,5.082920e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.049000e-03,2.922000e-03,0.000000e+00,0.000000e+00,XXX,5.082920e-01,0.000000e+00,2.000000e-06,5.000000e-06,3.041000e-03,1.000000e-06,XXX,5.113410e-01,0.000000e+00,2.600000e-05,4.000000e-06,2.890000e-03,2.000000e-06
25,XXX,5.142700e-01,0.000000e+00,2.120000e-04,8.100000e-05,2.943000e-03,3.030000e-03,0.000000e+00,0.000000e+00,XXX,5.145640e-01,0.000000e+00,2.100000e-05,5.000000e-06,2.915000e-03,1.000000e-06,XXX,5.175060e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.023000e-03,1.000000e-06
