step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,2.524140e-01,1.000000e-05,1.636000e-03,2.400000e-05,2.270200e-02,2.368900e-02,0.000000e+00,0.000000e+00,XXX,2.540850e-01,0.000000e+00,8.000000e-06,1.960000e-04,2.249500e-02,2.000000e-06,XXX,2.767860e-01,0.000000e+00,5.400000e-05,2.600000e-05,2.360800e-02,1.000000e-06
2,XXX,3.004970e-01,2.000000e-06,0.000000e+00,0.000000e+00,2.358500e-02,2.247300e-02,0.000000e+00,0.000000e+00,XXX,3.004990e-01,0.000000e+00,1.100000e-05,2.600000e-05,2.354600e-02,2.000000e-06,XXX,3.240850e-01,0.000000e+00,4.000000e-06,2.700000e-05,2.243900e-02,2.000000e-06
3,XXX,3.465710e-01,1.000000e-06,1.615000e-03,8.000000e-06,2.252600e-02,2.346700e-02,0.000000e+00,0.000000e+00,XXX,3.481950e-01,0.000000e+00,6.000000e-06,2.600000e-05,2.249200e-02,2.000000e-06,XXX,3.707210e-01,0.000000e+00,1.100000e-05,2.600000e-05,2.342800e-02,2.000000e-06
4,XXX,3.942010e-01,0.000000e+00,1.000000e-06,0.000000e+00,2.350200e-02,2.247500e-02,0.000000e+00,0.000000e+00,XXX,3.942020e-01,0.000000e+00,1.100000e-05,2.700000e-05,2.346200e-02,2.000000e-06,XXX,4.177040e-01,0.000000e+00,5.000000e-06,2.700000e-05,2.244100e-02,2.000000e-06
5,XXX,4.401910e-01,1.000000e-06,1.619000e-03,3.000000e-06,2.254100e-02,2.352800e-02,0.000000e+00,0.000000e+00,XXX,4.418140e-01,0.000000e+00,6.000000e-06,2.500000e-05,2.250800e-02,2.000000e-06,XXX,4.643550e-01,0.000000e+00,1.100000e-05,2.900000e-05,2.348600e-02,2.000000e-06
6,XXX,4.878950e-01,1.000000e-06,0.000000e+00,0.000000e+00,2.359800e-02,2.246900e-02,0.000000e+00,0.000000e+00,XXX,4.878970e-01,0.000000e+00,1.100000e-05,2.600000e-05,2.355800e-02,2.000000e-06,XXX,5.114940e-01,0.000000e+00,4.000000e-06,2.700000e-05,2.243600e-02,1.000000e-06
7,XXX,5.339750e-01,1.000000e-06,1.616000e-03,2.000000e-06,2.252500e-02,2.354300e-02,1.000000e-06,0.000000e+00,XXX,5.355950e-01,0.000000e+00,6.000000e-06,2.500000e-05,2.249200e-02,1.000000e-06,XXX,5.581190e-01,0.000000e+00,1.100000e-05,2.700000e-05,2.350400e-02,1.000000e-06
8,XXX,5.816750e-01,1.000000e-06,0.000000e+00,0.000000e+00,2.363700e-02,2.246900e-02,0.000000e+00,1.000000e-06,XXX,5.816760e-01,0.000000e+00,1.200000e-05,2.600000e-05,2.359700e-02,2.000000e-06,XXX,6.053130e-01,0.000000e+00,4.000000e-06,2.800000e-05,2.243600e-02,1.000000e-06
9,XXX,6.277950e-01,1.000000e-06,1.616000e-03,3.000000e-06,2.252400e-02,2.371800e-02,1.000000e-06,0.000000e+00,XXX,6.294150e-01,0.000000e+00,6.000000e-06,2.500000e-05,2.249200e-02,1.000000e-06,XXX,6.519400e-01,0.000000e+00,1.100000e-05,2.600000e-05,2.367900e-02,1.000000e-06
10,XXX,6.756700e-01,1.000000e-06,0.000000e+00,0.000000e+00,2.383400e-02,2.246200e-02,1.731280e-01,0.000000e+00,XXX,6.756710e-01,0.000000e+00,1.100000e-05,2.700000e-05,2.379400e-02,2.000000e-06,XXX,6.995050e-01,0.000000e+00,4.000000e-06,2.700000e-05,2.243000e-02,1.000000e-06
11,XXX,8.951080e-01,1.000000e-06,1.634000e-03,6.000000e-06,2.272400e-02,2.379800e-02,0.000000e+00,0.000000e+00,XXX,8.967490e-01,0.000000e+00,7.000000e-06,3.700000e-05,2.267800e-02,2.000000e-06,XXX,9.194730e-01,0.000000e+00,1.900000e-05,2.700000e-05,2.375000e-02,2.000000e-06
12,XXX,9.432840e-01,1.000000e-06,0.000000e+00,0.000000e+00,2.380200e-02,2.247600e-02,0.000000e+00,0.000000e+00,XXX,9.432850e-01,1.000000e-06,1.100000e-05,3.000000e-05,2.375900e-02,1.000000e-06,XXX,9.670880e-01,0.000000e+00,4.000000e-06,2.700000e-05,2.244300e-02,1.000000e-06
13,XXX,9.895760e-01,1.000000e-06,1.615000e-03,3.000000e-06,2.252400e-02,2.355200e-02,0.000000e+00,0.000000e+00,XXX,9.911960e-01,0.000000e+00,6.000000e-06,2.500000e-05,2.249000e-02,2.000000e-06,XXX,1.013719e+00,0.000000e+00,1.100000e-05,2.700000e-05,2.351300e-02,1.000000e-06
14,XXX,1.037290e+00,1.000000e-06,0.000000e+00,0.000000e+00,2.359700e-02,2.250500e-02,0.000000e+00,0.000000e+00,XXX,1.037292e+00,0.000000e+00,1.100000e-05,2.600000e-05,2.355700e-02,2.000000e-06,XXX,1.060888e+00,0.000000e+00,4.000000e-06,2.700000e-05,2.247200e-02,2.000000e-06
15,XXX,1.083414e+00,1.000000e-06,1.615000e-03,3.000000e-06,2.253800e-02,2.351300e-02,0.000000e+00,0.000000e+00,XXX,1.085033e+00,0.000000e+00,6.000000e-06,2.600000e-05,2.250400e-02,2.000000e-06,XXX,1.107571e+00,0.000000e+00,1.100000e-05,2.700000e-05,2.347400e-02,1.000000e-06
16,XXX,1.131097e+00,1.000000e-06,0.000000e+00,0.000000e+00,2.354100e-02,2.248000e-02,1.000000e-06,0.000000e+00,XXX,1.131098e+00,0.000000e+00,1.100000e-05,2.700000e-05,2.350100e-02,2.000000e-06,XXX,1.154639e+00,0.000000e+00,5.000000e-06,2.700000e-05,2.244700e-02,1.000000e-06
17,XXX,1.177131e+00,1.000000e-06,1.625000e-03,2.000000e-06,2.254100e-02,2.359700e-02,0.000000e+00,0.000000e+00,XXX,1.178759e+00,0.000000e+00,6.000000e-06,2.600000e-05,2.250700e-02,2.000000e-06,XXX,1.201300e+00,0.000000e+00,1.100000e-05,2.700000e-05,2.355800e-02,1.000000e-06
18,XXX,1.224910e+00,1.000000e-06,0.000000e+00,0.000000e+00,2.364500e-02,2.249300e-02,1.000000e-06,0.000000e+00,XXX,1.224911e+00,0.000000e+00,1.100000e-05,2.700000e-05,2.360500e-02,2.000000e-06,XXX,1.248556e+00,0.000000e+00,5.000000e-06,2.700000e-05,2.246000e-02,1.000000e-06
19,XXX,1.271061e+00,1.000000e-06,1.618000e-03,3.000000e-06,2.254100e-02,2.361600e-02,0.000000e+00,0.000000e+00,XXX,1.272683e+00,0.000000e+00,6.000000e-06,2.500000e-05,2.250900e-02,1.000000e-06,XXX,1.295224e+00,0.000000e+00,1.100000e-05,2.700000e-05,2.357600e-02,2.000000e-06
20,XXX,1.318857e+00,1.000000e-06,0.000000e+00,0.000000e+00,2.369800e-02,2.249600e-02,1.689890e-01,0.000000e+00,XXX,1.318858e+00,1.000000e-06,1.100000e-05,2.600000e-05,2.365800e-02,2.000000e-06,XXX,1.342556e+00,0.000000e+00,4.000000e-06,2.700000e-05,2.246400e-02,1.000000e-06
